ID,Name,Pos,Team,Value,Ownership,1_Pts,1_xMins,2_Pts,2_xMins,3_Pts,3_xMins,4_Pts,4_xMins,5_Pts,5_xMins,6_Pts,6_xMins,7_Pts,7_xMins,8_Pts,8_xMins,9_Pts,9_xMins,10_Pts,10_xMins
516,Bentancur,M,TOT,5.5,0.2,0.35,10,0.30,10,0.30,10,0.30,10,0.30,10,0.29,10,0.30,10,0.29,10,0.30,10,0.30,10
145,Fofana,D,CHE,5,0,0.00,0,0.00,0,0.31,15,0.43,15,0.36,15,0.38,15,0.38,15,0.39,15,0.37,15,0.39,15
347,Nmecha,F,LEE,5.5,0.6,0.39,10,0.30,10,0.27,10,0.30,10,0.30,10,0.24,10,0.28,10,0.28,10,0.28,10,0.30,10
432,Mainoo,M,MUN,5.5,1,0.35,10,0.29,10,0.28,10,0.27,10,0.28,10,0.29,10,0.28,10,0.29,10,0.27,10,0.28,10
430,Mount,M,MUN,5.5,0,0.40,10,0.29,10,0.27,10,0.26,10,0.27,10,0.28,10,0.27,10,0.28,10,0.26,10,0.28,10
56,Abraham,F,AVL,5.5,0.1,0.41,10,0.25,10,0.28,10,0.29,10,0.27,10,0.29,10,0.27,10,0.26,10,0.28,10,0.24,10
81,Rodríguez,F,BOU,6,0.1,0.34,10,0.28,10,0.26,10,0.28,10,0.26,10,0.25,10,0.28,10,0.25,10,0.27,10,0.25,10
269,Sessegnon,D,FUL,4.5,0.4,0.33,10,0.26,10,0.27,10,0.25,10,0.26,10,0.26,10,0.28,10,0.26,10,0.25,10,0.27,10
211,Yeremy,M,CRY,5.5,0.2,0.32,10,0.25,10,0.26,10,0.28,10,0.26,10,0.27,10,0.25,10,0.27,10,0.25,10,0.26,10
553,Isidor,F,SUN,5.5,1,0.38,10,0.27,10,0.25,10,0.23,10,0.23,10,0.26,10,0.25,10,0.27,10,0.26,10,0.26,10
490,Wood,F,NFO,6,1.8,0.42,10,0.23,10,0.26,10,0.24,10,0.27,10,0.25,10,0.23,10,0.25,10,0.24,10,0.24,10
18,Martinelli,M,ARS,6.5,0.2,0.44,10,0.23,10,0.24,10,0.24,10,0.23,10,0.26,10,0.24,10,0.25,10,0.22,10,0.28,10
470,Morato,D,NFO,5,0,0.28,10,0.25,10,0.26,10,0.26,10,0.25,10,0.26,10,0.25,10,0.26,10,0.26,10,0.26,10
37,Lindelöf,D,AVL,4.5,0.3,2.57,75,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
256,Tete,D,FUL,4.5,0.3,0.27,10,0.25,10,0.25,10,0.24,10,0.25,10,0.25,10,0.25,10,0.25,10,0.25,10,0.25,10
501,Danso,D,TOT,5,0.2,0.28,10,0.25,10,0.25,10,0.25,10,0.25,10,0.25,10,0.24,10,0.25,10,0.25,10,0.25,10
377,Munoz,M,LIV,6.5,0.6,0.38,10,0.27,10,0.26,10,0.26,10,0.24,10,0.23,10,0.23,10,0.23,10,0.20,10,0.21,10
328,Struijk,D,BHA,5,0.2,0.18,0,0.25,10,0.27,10,0.26,10,0.24,10,0.26,10,0.27,10,0.25,10,0.24,10,0.27,10
420,Yoro,D,MUN,5,0.7,0.28,10,0.24,10,0.24,10,0.24,10,0.24,10,0.24,10,0.24,10,0.24,10,0.24,10,0.24,10
370,Chiesa,M,LIV,5.5,0.1,0.37,10,0.24,10,0.23,10,0.25,10,0.22,10,0.21,10,0.22,10,0.24,10,0.20,10,0.22,10
410,Monga,M,MCI,5,0,0.36,10,0.24,10,0.26,10,0.22,10,0.24,10,0.21,10,0.24,10,0.21,10,0.21,10,0.20,10
126,O'Riley,M,BHA,5.5,0.1,0.34,10,0.23,10,0.25,10,0.24,10,0.21,10,0.22,10,0.23,10,0.21,10,0.20,10,0.21,10
448,Burn,D,NEW,5,2.4,0.25,10,0.23,10,0.23,10,0.23,10,0.23,10,0.23,10,0.23,10,0.23,10,0.23,10,0.23,10
245,Dibling,M,EVE,5.5,0,0.30,10,0.22,10,0.22,10,0.21,10,0.23,10,0.23,10,0.22,10,0.19,10,0.22,10,0.23,10
33,Mings,D,AVL,4.5,0.3,0.25,10,0.22,10,0.23,10,0.23,10,0.22,10,0.23,10,0.22,10,0.22,10,0.23,10,0.22,10
591,Enciso,M,IPS,5.5,0.2,0.26,11,0.23,11,0.24,11,0.23,11,0.22,11,0.23,11,0.20,11,0.21,11,0.20,11,0.19,11
288,Dowell,M,HUL,4.5,0.4,0.26,10,0.23,10,0.22,10,0.21,10,0.21,10,0.21,10,0.21,10,0.21,10,0.21,10,0.18,10
292,Ömür,M,HUL,5,0,0.23,10,0.25,10,0.24,10,0.22,10,0.22,10,0.22,10,0.20,10,0.20,10,0.19,10,0.17,10
563,Morita,M,HUL,5,0,0.23,10,0.25,10,0.24,10,0.22,10,0.22,10,0.22,10,0.20,10,0.20,10,0.19,10,0.17,10
270,Reed,M,FUL,4.5,1.5,0.25,10,0.21,10,0.22,10,0.20,10,0.20,10,0.20,10,0.21,10,0.19,10,0.18,10,0.19,10
266,Cairney,M,FUL,5,0,0.23,10,0.19,10,0.21,10,0.18,10,0.20,10,0.20,10,0.22,10,0.20,10,0.19,10,0.21,10
29,M.Bizot,G,AVL,4.5,0.1,2.01,60,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
474,Jair Cunha,D,NFO,4.5,0.2,0.23,10,0.19,10,0.20,10,0.20,10,0.20,10,0.20,10,0.19,10,0.20,10,0.20,10,0.20,10
577,Tomiyasu,D,CRY,4.5,0.3,0.21,10,0.21,10,0.21,10,0.21,10,0.20,10,0.20,10,0.19,10,0.19,10,0.18,10,0.18,10
584,Hamer,M,COV,5.5,0.1,0.21,10,0.23,10,0.19,10,0.21,10,0.19,10,0.20,10,0.19,10,0.19,10,0.19,10,0.18,10
422,Mazraoui,D,MUN,4.5,0.6,0.23,10,0.20,10,0.19,10,0.18,10,0.19,10,0.19,10,0.19,10,0.19,10,0.18,10,0.19,10
308,Furlong,D,IPS,4,0.6,0.21,10,0.18,10,0.19,10,0.19,10,0.18,10,0.18,10,0.18,10,0.18,10,0.18,10,0.18,10
144,Gusto,D,CHE,5,1.1,0.21,10,0.18,10,0.15,10,0.20,10,0.18,10,0.19,10,0.17,10,0.19,10,0.18,10,0.18,10
148,Hato,D,CHE,4.5,0.5,0.21,10,0.18,10,0.17,10,0.18,10,0.18,10,0.18,10,0.18,10,0.18,10,0.18,10,0.18,10
174,Kitching,D,COV,4,0.7,0.19,10,0.19,10,0.18,10,0.18,10,0.18,10,0.18,10,0.18,10,0.18,10,0.18,10,0.17,10
556,Targett,D,HUL,4,2.5,0.18,10,0.19,10,0.19,10,0.18,10,0.18,10,0.18,10,0.17,10,0.17,10,0.17,10,0.16,10
66,Soler,D,BOU,4,0.3,0.19,10,0.19,10,0.18,10,0.18,10,0.18,10,0.17,10,0.18,10,0.17,10,0.17,10,0.17,10
212,Hughes,M,CRY,4.5,12,0.20,10,0.17,10,0.17,10,0.19,10,0.17,10,0.18,10,0.17,10,0.18,10,0.17,10,0.17,10
486,McAtee,M,NFO,5.5,0,0.28,10,0.17,10,0.19,10,0.17,10,0.19,10,0.17,10,0.15,10,0.16,10,0.15,10,0.15,10
243,Alcaraz,M,EVE,5,0.1,0.26,10,0.16,10,0.17,10,0.16,10,0.19,10,0.18,10,0.17,10,0.14,10,0.16,10,0.19,10
373,C.Jones,M,LIV,5.5,0.1,0.20,5,0.16,5,0.16,5,0.17,5,0.16,5,0.16,5,0.16,5,0.16,5,0.15,5,0.16,5
364,Tsimikas,D,LIV,5,0.1,0.20,10,0.17,10,0.17,10,0.17,10,0.16,10,0.15,10,0.15,10,0.16,10,0.15,10,0.15,10
401,Marmoush,F,MCI,7,0.9,0.42,10,0.12,5,0.13,5,0.11,5,0.13,5,0.11,5,0.13,5,0.11,5,0.12,5,0.12,5
17,Merino,M,ARS,6,0.7,0.24,5,0.13,5,0.14,5,0.13,5,0.13,5,0.14,5,0.13,5,0.14,5,0.13,5,0.15,5
578,Mudryk,M,CHE,5.5,0,0.52,16,0.13,5,0.10,5,0.13,5,0.11,5,0.11,5,0.09,5,0.09,5,0.08,5,0.08,5
345,Tanaka,M,LEE,5,0.3,0.16,5,0.15,5,0.14,5,0.15,5,0.15,5,0.13,5,0.14,5,0.14,5,0.14,5,0.15,5
71,Cook,M,BOU,5,0.1,0.15,5,0.14,5,0.14,5,0.14,5,0.14,5,0.14,5,0.14,5,0.14,5,0.14,5,0.15,5
281,Drameh,D,HUL,4,0,0.14,10,0.15,10,0.14,10,0.13,10,0.13,10,0.13,10,0.13,10,0.13,10,0.12,10,0.11,10
44,Bailey,M,AVL,5.5,0.1,0.16,5,0.11,5,0.13,5,0.13,5,0.12,5,0.13,5,0.12,5,0.12,5,0.14,5,0.12,5
19,Zubimendi,M,ARS,5.5,1.2,0.17,5,0.12,5,0.12,5,0.12,5,0.12,5,0.13,5,0.12,5,0.12,5,0.12,5,0.13,5
215,Devenny,M,CRY,5,0,0.15,5,0.12,5,0.12,5,0.13,5,0.12,5,0.13,5,0.12,5,0.13,5,0.12,5,0.12,5
42,Guessand,M,CRY,5.5,0,0.13,5,0.13,5,0.13,5,0.14,5,0.12,5,0.13,5,0.12,5,0.12,5,0.11,5,0.11,5
213,Lerma,M,CRY,5,0.1,0.14,5,0.12,5,0.12,5,0.13,5,0.12,5,0.12,5,0.12,5,0.12,5,0.12,5,0.12,5
74,Brooks,M,BOU,5,0.1,0.15,5,0.12,5,0.11,5,0.12,5,0.12,5,0.11,5,0.12,5,0.11,5,0.13,5,0.12,5
20,Dowman,M,ARS,5.5,0.1,0.22,5,0.11,5,0.12,5,0.11,5,0.11,5,0.11,5,0.10,5,0.11,5,0.10,5,0.10,5
343,James,M,LEE,5,0.1,0.15,5,0.12,5,0.11,5,0.12,5,0.12,5,0.10,5,0.12,5,0.11,5,0.11,5,0.12,5
161,Lavia,M,CHE,5,0.1,0.13,5,0.11,5,0.10,5,0.12,5,0.11,5,0.12,5,0.11,5,0.12,5,0.11,5,0.11,5
548,Rigg,M,SUN,5,0.1,0.15,5,0.11,5,0.11,5,0.10,5,0.10,5,0.11,5,0.11,5,0.11,5,0.11,5,0.11,5
164,Quenda,M,CHE,5.5,0,0.16,5,0.12,5,0.10,5,0.12,5,0.11,5,0.11,5,0.10,5,0.10,5,0.10,5,0.09,5
91,Pinnock,D,BRE,4.5,0.1,0.12,5,0.11,5,0.11,5,0.11,5,0.11,5,0.11,5,0.11,5,0.11,5,0.11,5,0.11,5
550,Jocelin.T,M,SUN,5,0,0.14,5,0.13,5,0.12,5,0.11,5,0.10,5,0.11,5,0.10,5,0.10,5,0.09,5,0.09,5
341,Gnonto,M,LEE,5,0,0.14,5,0.11,5,0.10,5,0.11,5,0.11,5,0.09,5,0.11,5,0.10,5,0.10,5,0.11,5
246,Röhl,M,EVE,5,0.1,0.14,5,0.10,5,0.10,5,0.10,5,0.11,5,0.11,5,0.10,5,0.09,5,0.10,5,0.11,5
216,Esse,M,CRY,5,0,0.15,5,0.11,5,0.11,5,0.11,5,0.10,5,0.11,5,0.10,5,0.10,5,0.10,5,0.09,5
218,Doucouré,M,CRY,5,0.1,0.12,5,0.12,5,0.12,5,0.13,5,0.11,5,0.11,5,0.10,5,0.10,5,0.09,5,0.08,5
546,Adingra,M,SUN,5,0.2,0.16,5,0.11,5,0.10,5,0.09,5,0.09,5,0.10,5,0.10,5,0.11,5,0.10,5,0.10,5
188,Torp,M,COV,5.5,0.2,0.12,5,0.12,5,0.10,5,0.11,5,0.10,5,0.11,5,0.10,5,0.10,5,0.10,5,0.10,5
167,Delap,F,CHE,5.5,0.5,0.17,5,0.10,5,0.08,5,0.11,5,0.10,5,0.10,5,0.09,5,0.10,5,0.10,5,0.10,5
383,Elliott,M,LIV,5.5,0.1,0.17,5,0.11,5,0.11,5,0.11,5,0.10,5,0.09,5,0.09,5,0.09,5,0.08,5,0.09,5
460,Willock,M,NEW,5,0.1,0.12,5,0.09,5,0.10,5,0.09,5,0.11,5,0.10,5,0.10,5,0.09,5,0.10,5,0.09,5
339,Longstaff,M,LEE,5,0.1,0.12,5,0.10,5,0.09,5,0.10,5,0.10,5,0.08,5,0.10,5,0.09,5,0.10,5,0.10,5
440,Zirkzee,F,MUN,5.5,0.6,0.19,5,0.10,5,0.08,5,0.08,5,0.09,5,0.09,5,0.09,5,0.09,5,0.08,5,0.09,5
323,McAteer,M,IPS,4.5,1.4,0.13,5,0.10,5,0.10,5,0.10,5,0.09,5,0.10,5,0.09,5,0.09,5,0.09,5,0.09,5
90,Hickey,D,BRE,4.5,0.1,0.11,5,0.09,5,0.09,5,0.09,5,0.09,5,0.09,5,0.09,5,0.09,5,0.09,5,0.09,5
147,Tosin,D,CHE,4.5,0.2,0.11,5,0.09,5,0.08,5,0.09,5,0.09,5,0.09,5,0.09,5,0.09,5,0.09,5,0.09,5
62,Diakité,D,BOU,5,0.2,0.10,5,0.09,5,0.09,5,0.09,5,0.09,5,0.09,5,0.09,5,0.09,5,0.09,5,0.09,5
50,Burrowes,M,AVL,4.5,0.7,0.14,4,0.08,4,0.09,4,0.09,4,0.08,4,0.09,4,0.08,4,0.08,4,0.08,4,0.07,4
303,Kipré,D,IPS,4,0.6,0.10,5,0.09,5,0.09,5,0.09,5,0.09,5,0.09,5,0.08,5,0.09,5,0.08,5,0.08,5
89,Henry,D,BRE,4.5,0.3,0.10,5,0.08,5,0.09,5,0.08,5,0.09,5,0.08,5,0.08,5,0.09,5,0.09,5,0.08,5
151,Acheampong,D,CHE,4.5,0.3,0.09,5,0.08,5,0.07,5,0.08,5,0.07,5,0.08,5,0.07,5,0.08,5,0.07,5,0.07,5
307,Johnson,D,IPS,4,0.1,0.09,5,0.07,5,0.07,5,0.07,5,0.07,5,0.07,5,0.07,5,0.07,5,0.07,5,0.07,5
409,Mukasa,M,MCI,4.5,0.1,0.08,2,0.04,2,0.05,2,0.04,2,0.04,2,0.04,2,0.04,2,0.04,2,0.04,2,0.04,2
205,Sosa,D,CRY,4.5,0,0.05,5,0.04,5,0.04,5,0.04,5,0.04,5,0.04,5,0.03,5,0.04,5,0.03,5,0.03,5
168,Marc Guiu,F,CHE,5,0.5,0.16,5,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
217,M.França,M,CRY,5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
590,Benda,G,NFO,4.5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0
