ID,Name,Pos,Team,Value,Ownership,1_Pts,1_xMins,2_Pts,2_xMins,3_Pts,3_xMins,4_Pts,4_xMins,5_Pts,5_xMins
501,Danso,D,TOT,5,0.2,0.71,20,0.65,20,0.65,20,0.70,20,0.66,20
520,Bergvall,M,TOT,5.5,0.2,0.70,20,0.67,20,0.63,20,0.68,20,0.66,20
108,Wilson,F,BRE,5.5,0.4,0.63,15,0.63,15,0.70,15,0.63,15,0.65,15
370,Chiesa,M,LIV,5.5,0.2,0.77,20,0.66,20,0.61,20,0.63,20,0.55,20
311,Burns,M,IPS,5,0.1,0.67,20,0.61,20,0.62,20,0.61,20,0.60,20
190,Tchaouna,M,COV,5.5,0.1,0.52,20,0.71,20,0.56,20,0.65,20,0.62,20
339,Longstaff,M,LEE,5,0.2,0.57,20,0.64,20,0.57,20,0.63,20,0.65,20
422,Mazraoui,D,MUN,4.5,0.8,0.81,20,0.63,20,0.56,20,0.49,20,0.55,20
188,Torp,M,COV,5.5,0.2,0.54,20,0.72,20,0.56,20,0.62,20,0.58,20
550,Jocelin.T,M,SUN,5,0,0.66,20,0.65,20,0.59,20,0.55,20,0.52,20
489,Yates,M,NFO,4.5,6.5,0.64,20,0.55,20,0.62,20,0.55,20,0.62,20
405,N.Gonzalez,M,MCI,5.5,0.1,0.59,20,0.59,20,0.61,20,0.56,20,0.61,20
147,Tosin,D,CHE,4.5,0.2,0.58,20,0.61,20,0.45,20,0.72,20,0.55,20
146,B.Badiashile,D,CHE,4.5,0,0.58,20,0.61,20,0.47,20,0.70,20,0.55,20
539,O'Nien,D,SUN,4,2.9,2.18,60,0.20,10,0.18,10,0.17,10,0.17,10
9,Hincapie,D,ARS,5.5,3.2,0.72,15,0.53,15,0.55,15,0.56,15,0.52,15
306,Greaves,D,IPS,4,0.7,0.64,20,0.50,20,0.54,20,0.58,20,0.57,20
551,Angulo,M,SUN,5,0.1,0.60,20,0.60,20,0.54,20,0.51,20,0.49,20
71,Cook,M,BOU,5,0.1,0.50,15,0.58,15,0.55,15,0.56,15,0.53,15
323,McAteer,M,IPS,4.5,1.4,0.58,20,0.52,20,0.53,20,0.52,20,0.51,20
145,Fofana,D,CHE,5,0,0.00,0,0.00,0,0.67,30,1.09,30,0.83,30
37,Lindelöf,D,AVL,4.5,0.2,2.50,75,0.00,0,0.00,0,0.00,0,0.00,0
541,Meunier,D,SUN,4.5,0.4,0.57,20,0.58,20,0.49,20,0.46,20,0.38,20
321,Walle Egeli,F,IPS,4.5,2,0.55,15,0.48,15,0.49,15,0.48,15,0.45,15
20,Dowman,M,ARS,5.5,0.2,0.57,15,0.47,15,0.49,15,0.46,15,0.42,15
62,Diakité,D,BOU,5,0.2,0.44,20,0.56,20,0.45,20,0.52,20,0.46,20
347,Nmecha,F,LEE,5.5,0.6,0.37,10,0.53,10,0.45,10,0.53,10,0.54,10
578,Mudryk,M,CHE,5.5,0,0.48,16,0.51,16,0.39,16,0.52,16,0.42,16
75,Christie,M,BOU,5,0,0.00,0,0.63,20,0.56,20,0.59,20,0.54,20
401,Marmoush,F,MCI,7,0.8,0.39,10,0.42,10,0.48,10,0.34,10,0.39,10
126,O'Riley,M,BHA,5.5,0.1,0.42,10,0.39,10,0.43,10,0.40,10,0.34,10
517,Odobert,M,TOT,5.5,0,0.39,10,0.41,10,0.37,10,0.40,10,0.39,10
80,Enes Ünal,F,BOU,5.5,0.2,0.33,10,0.43,10,0.37,10,0.39,10,0.34,10
518,P.M.Sarr,M,TOT,5,0.4,0.41,10,0.36,10,0.35,10,0.36,10,0.36,10
56,Abraham,F,AVL,5.5,0.2,0.38,10,0.34,10,0.40,10,0.39,10,0.33,10
349,Mateo Joseph,F,LEE,4.5,0.1,0.33,10,0.38,10,0.32,10,0.34,10,0.32,10
493,Kalimuendo,F,NFO,5.5,0.1,0.37,10,0.31,10,0.35,10,0.29,10,0.33,10
345,Tanaka,M,LEE,5,0.3,0.31,10,0.34,10,0.31,10,0.34,10,0.34,10
27,G.Jesus,F,ARS,6,0.4,0.42,10,0.31,10,0.33,10,0.29,10,0.25,10
