ID,Name,Pos,Team,Value,Ownership,2_Pts,2_xMins,3_Pts,3_xMins,4_Pts,4_xMins,5_Pts,5_xMins,6_Pts,6_xMins
327,Bijol,D,LEE,5,0.9,3.77,90,3.40,90,3.36,90,3.96,90,2.77,90
483,Ndoye,M,NFO,5.5,0.4,3.24,61,3.46,61,3.38,61,3.70,61,3.44,61
129,Ayari,M,BHA,5.5,0.6,3.26,63,3.67,63,3.54,63,3.15,63,3.60,63
36,Maatsen,D,AVL,4.5,0.7,2.75,81,3.84,81,3.97,81,3.15,81,3.46,81
551,Angulo,M,SUN,5,0.1,3.65,58,3.54,58,3.23,58,3.09,58,3.60,58
420,Yoro,D,MUN,5,0.6,3.97,65,3.82,55,2.46,55,3.47,55,3.40,55
90,Hickey,D,BRE,4.5,0.1,3.72,65,3.87,55,3.53,55,2.95,55,3.02,55
423,Shaw,D,MUN,4.5,19.7,3.98,90,3.82,90,2.39,90,3.46,90,3.40,90
229,Tarkowski,D,EVE,6,8.7,3.56,90,3.07,90,3.00,90,3.79,90,3.57,90
244,Armstrong,M,EVE,5,0.2,3.46,90,3.28,90,3.26,90,3.52,90,3.46,90
570,Palacios,M,FUL,5.5,0.2,3.59,72,3.44,72,3.10,72,3.30,72,3.48,72
586,Mendy,D,HUL,4,3.7,3.65,63,3.43,63,3.08,63,2.92,63,3.81,63
190,Tchaouna,M,COV,5.5,0.2,3.68,81,2.83,81,3.42,81,3.59,81,3.33,81
149,Colwill,D,CHE,5,1.5,3.26,90,2.51,90,3.90,90,3.27,90,3.90,90
162,Andrey Santos,M,MUN,5,1,3.58,66,3.49,66,2.99,66,3.39,66,3.38,66
109,Verbruggen,G,BHA,4.5,21.5,2.94,90,3.85,90,3.56,90,2.73,90,3.74,90
230,Branthwaite,D,EVE,5.5,1.8,3.52,90,3.04,90,2.98,90,3.73,90,3.53,90
491,Igor Jesus,F,NFO,6,3.8,3.17,90,3.36,90,3.27,90,3.58,90,3.33,90
264,Bobb,M,FUL,5.5,0.3,3.54,66,3.40,66,3.06,66,3.26,66,3.44,66
32,Cash,D,AVL,4.5,7.7,2.62,90,3.74,90,3.89,90,3.04,90,3.37,90
226,Pickford,G,EVE,5.5,8.8,3.42,90,3.11,90,3.06,90,3.61,90,3.43,90
7,Lewis-Skelly,M,ARS,5.5,0.7,3.20,90,3.20,90,3.48,90,3.17,90,3.54,90
140,Sánchez,G,CHE,5,2.3,3.18,90,2.67,90,3.76,90,3.22,90,3.75,90
290,Slater,M,HUL,4.5,3.8,3.43,90,3.28,90,3.19,90,3.15,90,3.47,90
591,Enciso,M,IPS,5.5,0.5,1.96,35,3.45,70,3.58,70,3.73,70,3.72,70
279,Ajayi,D,HUL,4,1.8,3.54,63,3.33,63,2.98,63,2.82,63,3.71,63
28,Martinez,G,AVL,5,4.1,2.79,90,3.55,55,3.69,55,2.93,55,3.22,55
469,N.Williams,D,NFO,5,9,2.49,90,3.21,90,3.12,90,3.81,90,3.31,90
421,Heaven,D,MUN,4.5,0.4,2.16,35,3.99,90,2.52,90,3.63,90,3.56,90
254,Robinson,D,FUL,4.5,1.7,3.81,81,3.38,81,2.35,81,2.88,81,3.41,81
309,Núñez,M,IPS,5,0.1,3.08,79,3.04,79,3.16,79,3.27,79,3.26,79
198,Henderson,G,CRY,5,1.8,2.28,90,2.94,90,3.49,90,3.56,90,3.48,90
194,Thomas-Asante,F,COV,5,0.8,2.11,35,2.94,69,3.54,69,3.69,69,3.44,69
277,Egan,D,HUL,4,2,3.42,90,3.20,90,2.83,90,2.66,90,3.59,90
330,Bogle,D,LEE,4.5,0.6,3.43,90,3.09,90,3.04,90,3.61,90,2.46,90
385,Trafford,G,LEE,5,4.3,3.31,90,3.06,90,3.07,90,3.45,90,2.72,90
289,Crooks,M,HUL,4.5,0.7,3.27,90,3.07,90,2.97,90,2.93,90,3.31,90
45,McGinn,M,AVL,5.5,2.8,2.86,81,3.25,81,3.30,81,3.02,81,3.11,81
46,Barkley,M,AVL,5,0.2,2.87,73,3.24,73,3.29,73,3.01,73,3.11,73
422,Mazraoui,D,MUN,4.5,0.7,2.14,35,3.88,79,2.49,79,3.53,79,3.46,79
104,Onyeka,M,COV,5,0.2,3.37,90,2.61,90,3.13,90,3.28,90,3.05,90
232,O'Brien,D,EVE,5,0.4,3.23,65,2.76,55,2.70,55,3.44,55,3.23,55
173,Thomas,D,COV,4,7.9,3.74,90,1.99,90,3.10,90,3.53,90,2.95,90
34,Pau,D,AVL,4.5,0.4,2.46,73,3.42,73,3.55,73,2.79,73,3.09,73
69,Scott,M,BOU,6,1.5,3.32,90,2.93,90,3.10,90,2.96,90,2.97,90
334,Muharemović,D,LEE,5,3.4,3.32,90,2.98,90,2.94,90,3.49,90,2.40,90
567,Horníček,G,NEW,5,0.7,2.51,90,3.15,90,3.28,90,3.16,90,3.02,90
412,Lammens,G,MUN,5,15.6,3.49,90,3.34,90,2.21,90,3.01,90,2.95,90
159,Caicedo,M,CHE,5.5,3,2.98,49,2.69,55,3.18,55,2.95,55,3.17,55
473,Aina,D,NFO,4.5,3.5,2.39,73,3.01,73,2.94,73,3.52,73,3.10,73
255,J.Cuenca,D,FUL,4.5,0,3.60,90,3.19,90,2.21,90,2.72,90,3.21,90
148,Hato,D,CHE,4.5,0.5,1.84,35,2.56,64,3.68,64,3.18,64,3.68,64
61,Truffert,D,BOU,5.5,4.2,3.69,90,2.63,90,3.20,90,2.62,90,2.78,90
37,Lindelöf,D,AVL,4.5,0.3,2.31,90,3.35,90,3.49,90,2.68,90,3.00,90
516,Bentancur,M,TOT,5.5,0.2,2.84,65,3.06,55,3.12,55,2.96,55,2.83,55
575,Yirenkyi,M,COV,5,0.2,3.22,61,2.50,61,3.00,61,3.14,61,2.92,61
522,Gray,M,TOT,5,0.2,1.68,35,3.34,85,3.40,85,3.22,85,3.08,85
486,McAtee,M,NFO,5.5,0.1,1.71,35,3.23,73,3.17,73,3.41,73,3.21,73
250,Leno,G,FUL,4.5,3,3.46,90,3.09,90,2.37,90,2.71,90,3.09,90
572,Tzolakis,G,HUL,4.5,2.8,3.17,90,3.02,90,2.66,90,2.50,90,3.35,90
175,van Ewijk,D,COV,4,13.1,3.63,90,1.83,90,2.98,90,3.42,90,2.83,90
280,Coyle,D,HUL,4,0.6,3.20,69,2.98,69,2.64,69,2.49,69,3.36,69
247,Hackney,M,EVE,5.5,0.3,2.95,39,2.79,59,2.80,78,3.05,78,2.99,78
184,Grimes,M,COV,5,0.2,3.13,90,2.51,90,2.93,90,3.06,90,2.87,90
246,Röhl,M,EVE,5,0.1,1.73,35,3.07,90,3.04,90,3.36,90,3.28,90
338,Ampadu,M,LEE,5.5,1.4,2.96,90,2.89,90,2.86,90,2.99,90,2.67,90
267,Lukić,M,IPS,5,0.1,2.80,90,2.77,90,2.87,90,2.97,90,2.96,90
305,Davis,D,IPS,4,4.9,2.56,90,2.38,90,3.00,90,3.22,90,3.13,90
97,Jensen,M,BRE,5.5,0.2,1.85,35,3.26,66,3.17,66,3.00,66,3.00,66
576,Stroud,M,HUL,5,0.1,2.96,70,2.83,70,2.75,70,2.72,70,3.00,70
71,Cook,M,BOU,5,0.2,3.02,75,2.75,75,2.87,75,2.77,75,2.78,75
51,George Hemmings,M,AVL,4.5,0.7,1.55,35,3.20,90,3.24,90,3.00,90,3.08,90
315,Fatawu,M,IPS,5.5,0.2,2.72,65,2.69,65,2.81,65,2.92,65,2.91,65
